# Result of the experimentation with args: 1
#                 x                 y           is_wall          pressure            temper          vol_mass           speed_1           speed_2           turb_en          turb_dis

                 0                 0                 0            138566               300                 1                 0                 0            0.0001            0.0001
                 0              0.01                 0          147758.7          307.8491          1.039149        0.01885939         -18.16206            0.0001            0.0001
                 0              0.02                 0          148753.6          310.5653          1.036996       -0.06792099         -20.79484            0.0001            0.0001
                 0              0.03                 0          148635.6          312.5695          1.029529       -0.04545216         -19.99882            0.0001            0.0001
                 0              0.04                 0          149084.4          314.6767          1.025723        -0.3972436         -22.55672            0.0001            0.0001
                 0              0.05                 0          148772.2          316.5282          1.017588        -0.4258114         -19.78801            0.0001            0.0001
                 0              0.06                 0          148166.4          317.9793          1.008819         -1.413055         -21.77694            0.0001            0.0001
                 0              0.07                 0          148106.3          319.9157          1.002306         -1.826673         -16.51051            0.0001            0.0001
                 0              0.08                 0          146548.1          320.7482         0.9891875         -3.125875         -18.96156            0.0001            0.0001
                 0              0.09                 0          146391.8          322.5545         0.9825988           -4.9275           -13.401            0.0001            0.0001
                 0        0.09999999                 0          145573.2          323.7868          0.973385         -4.212559         -16.70682            0.0001            0.0001
                 0              0.11                 0          145075.8          325.3623         0.9653621         -9.579004         -13.05225            0.0001            0.0001
                 0              0.12                 0          145321.6           327.185         0.9616105         -3.875652         -14.46349            0.0001            0.0001
                 0              0.13                 0          144681.7          328.6703           0.95305         -15.44207         -10.75796            0.0001            0.0001
                 0              0.14                 0          144872.5          330.3845         0.9493552         -3.509827         -10.12424            0.0001            0.0001
                 0              0.15                 0          144375.4          331.9618         0.9416027           -21.696         -5.641772            0.0001            0.0001
                 0              0.16                 0          144684.9          333.6795         0.9387637         -3.300739         -4.599854            0.0001            0.0001
                 0              0.17                 0          144416.4          335.4184         0.9321634     -0.0003273365     -0.0001908118            0.0001            0.0001
                 0              0.18                 0          160445.5          347.3684                 1                 0                 0            0.0001            0.0001
                 0              0.19                 0            138566               300                 1                 0                 0            0.0001            0.0001

              0.01                 0                 0          147758.7          307.8491          1.039149        0.01885939         -18.16206            0.0001            0.0001
              0.01              0.01                 0          147758.7          307.8491          1.039149        0.01885939         -18.16206      0.0001849001      0.0002424135
              0.01              0.02                 0          148753.6          310.5653          1.036996       -0.06792099         -20.79484      0.0001707179      0.0002172185
              0.01              0.03                 0          148635.6          312.5695          1.029529       -0.04545216         -19.99882      0.0001528158      0.0001847447
              0.01              0.04                 0          149084.4          314.6767          1.025723        -0.3972436         -22.55672      0.0001433616      0.0001686125
              0.01              0.05                 0          148772.2          316.5282          1.017588        -0.4258114         -19.78801      0.0001310219      0.0001478278
              0.01              0.06                 0          148166.4          317.9793          1.008819         -1.413055         -21.77694      0.0001279947      0.0001430363
              0.01              0.07                 0          148106.3          319.9157          1.002306         -1.826673         -16.51051      0.0001191716      0.0001288744
              0.01              0.08                 0          146548.1          320.7482         0.9891875         -3.125875         -18.96156      0.0001482097      0.0001768393
              0.01              0.09                 0          146391.8          322.5545         0.9825988           -4.9275           -13.401      0.0001598845       0.000198714
              0.01        0.09999999                 0          145573.2          323.7868          0.973385         -4.212559         -16.70682      0.0003225637        0.00054229
              0.01              0.11                 0          145075.8          325.3623         0.9653621         -9.579004         -13.05225      0.0002772452      0.0004428522
              0.01              0.12                 0          145321.6           327.185         0.9616105         -3.875652         -14.46349      0.0007162788       0.001709131
              0.01              0.13                 0          144681.7          328.6703           0.95305         -15.44207         -10.75796      0.0003874709      0.0007204351
              0.01              0.14                 0          144872.5          330.3845         0.9493552         -3.509827         -10.12424       0.001047263       0.003106587
              0.01              0.15                 0          144375.4          331.9618         0.9416027           -21.696         -5.641772       0.001495965        0.01144152
              0.01              0.16                 0          144684.9          333.6795         0.9387637         -3.300739         -4.599854       0.006171363        0.03744122
              0.01              0.17                 0          144416.4          335.4184         0.9321634     -0.0003273365     -0.0001908118      0.0006554939       0.001439768
              0.01              0.18                 1          160445.5          347.3684                 1                 0                 0                 0                 0
              0.01              0.19                 0            138566               300                 1                 0                 0            0.0001            0.0001

              0.02                 0                 0          147750.5          307.8443          1.039107         0.0187228         -18.24909            0.0001            0.0001
              0.02              0.01                 0          147750.5          307.8443          1.039107         0.0187228         -18.24909      0.0001844091       0.000241482
              0.02              0.02                 0          148821.1          310.6064          1.037329       -0.06891362         -20.85845      0.0001718623      0.0002193376
              0.02              0.03                 0          148716.8          312.6193          1.029928       -0.04721193         -20.32704      0.0001533866        0.00018574
              0.02              0.04                 0          149362.2          314.8477          1.027076        -0.4049678         -22.93414      0.0001459365      0.0001730362
              0.02              0.05                 0          149153.2          316.7647          1.019432        -0.4364602         -20.79317      0.0001313692      0.0001483779
              0.02              0.06                 0          148781.8           318.366          1.011779         -1.459673         -23.16852      0.0001265942      0.0001407975
              0.02              0.07                 0          149104.6          320.5468          1.007076         -1.867957         -18.19054      0.0001188741      0.0001283835
              0.02              0.08                 0          147130.9          321.1304         0.9919391         -3.343518         -22.01722      0.0001422324      0.0001665887
              0.02              0.09                 0          148040.7          323.6167         0.9904048         -5.024785         -14.45766      0.0001451999      0.0001729873
              0.02        0.09999999                 0          145420.3          323.7148         0.9725795         -4.943152         -21.23638      0.0003017363      0.0004934687
              0.02              0.11                 0          147199.5          326.7656         0.9752868         -9.718237         -12.73218      0.0002369404      0.0003586077
              0.02              0.12                 0          144671.5          326.7745         0.9585118         -5.502089         -20.14852      0.0007121315       0.001715945
              0.02              0.13                 0          147588.7          330.6285          0.966441         -15.53068         -10.45627      0.0006433335       0.001635165
              0.02              0.14                 0          144178.2          329.9022         0.9461865         -5.867368         -16.13886       0.001435881        0.00884445
              0.02              0.15                 0          148386.8          334.6807         0.9599023         -21.90457         -5.321324        0.02905791         0.3355394
              0.02              0.16                 0          143898.7          333.1156         0.9352425         -4.971004         0.2401662       0.006542585        0.03411292
              0.02              0.17                 1            159230          344.7368                 1                 0                 0                 0                 0
              0.02              0.18                 1          160445.5          347.3684                 1                 0                 0                 0                 0
              0.02              0.19                 0            138566               300                 1                 0                 0            0.0001            0.0001

              0.03                 0                 0          147750.6          307.8444          1.039107      -0.007416144         -18.24996            0.0001            0.0001
              0.03              0.01                 0          147750.6          307.8444          1.039107      -0.007416144         -18.24996      0.0001844085      0.0002414805
              0.03              0.02                 0          148822.2          310.6071          1.037335       -0.06866127         -20.86001      0.0001718913       0.000219391
              0.03              0.03                 0          148718.4          312.6203          1.029935       -0.08054183         -20.33397      0.0001533669      0.0001857053
              0.03              0.04                 0          149369.9          314.8523          1.027114        -0.3366058         -22.94254      0.0001459751      0.0001731035
              0.03              0.05                 0          149160.4          316.7693          1.019466        -0.3892199         -20.83283      0.0001305887      0.0001471008
              0.03              0.06                 0          148818.2          318.3887          1.011954         -1.197796         -23.19969      0.0001248828      0.0001380538
              0.03              0.07                 0          149124.4          320.5599          1.007168         -1.542298         -18.35488      0.0001144304      0.0001214732
              0.03              0.08                 0          147251.5          321.2082         0.9925116         -2.880292         -22.09244      0.0001310988      0.0001480408
              0.03              0.09                 0          148070.8           323.639         0.9905375         -4.533172         -14.93116      0.0001341203       0.000154217
              0.03        0.09999999                 0          145663.9          323.8793         0.9737132         -4.521012         -21.33777      0.0002878018      0.0004612178
              0.03              0.11                 0          147190.3          326.7657         0.9752255         -9.631906         -13.56079      0.0002307561      0.0003650986
              0.03              0.12                 0          144863.4          326.9216         0.9593507         -5.118791         -20.17039       0.001160391       0.003497606
              0.03              0.13                 0          147463.9           330.553         0.9658444         -17.27507         -11.17719       0.000977808       0.004997655
              0.03              0.14                 0          144011.9          329.8196         0.9453319         -5.653025         -16.11662        0.01811479         0.1896184
              0.03              0.15                 0          148062.2          334.4533         0.9584538         -34.63568         -4.917685        0.01993515         0.2034055
              0.03              0.16                 0          143072.4          332.5881          0.931347         -4.818649         -1.867438       0.008733094        0.06286432
              0.03              0.17                 1            159230          344.7368                 1                 0                 0                 0                 0
              0.03              0.18                 0          141276.6           335.042         0.9129215     -0.0004402662      -0.002459872        0.07916493           1.50489
              0.03              0.19                 1            138566               300                 1                 0                 0                 0                 0

              0.04                 0                 0          147753.5          307.8465          1.039121      -0.007424772         -18.31012            0.0001            0.0001
              0.04              0.01                 0          147753.5          307.8465          1.039121      -0.007424772         -18.31012      0.0001846343      0.0002419054
              0.04              0.02                 0            148879          310.6417          1.037615       -0.06917249         -20.93082      0.0001731686      0.0002217571
              0.04              0.03                 0            148781          312.6594           1.03024       -0.08113304         -20.59346       0.000154742      0.0001881228
              0.04              0.04                 0          149593.8          314.9902          1.028204        -0.3407498         -23.23989      0.0001490373      0.0001783884
              0.04              0.05                 0          149449.5          316.9502          1.020859         -0.393479         -21.64542      0.0001336307      0.0001520946
              0.04              0.06                 0          149369.9          318.7342          1.014604         -1.222233         -24.31391      0.0001268964      0.0001412912
              0.04              0.07                 0            150044          321.1404          1.011547          -1.55945          -19.8408      0.0001206981      0.0001312353
              0.04              0.08                 0            147916          321.6358         0.9956649         -2.985248         -24.97799        0.00013023      0.0001466129
              0.04              0.09                 0          149849.6          324.7751         0.9989305         -4.557132         -16.04828      0.0001386738      0.0001616381
              0.04        0.09999999                 0          145710.3          323.9194         0.9739031         -4.843177         -26.23772      0.0002760138       0.000434251
              0.04              0.11                 0          149375.2          328.1992         0.9853793         -9.606995         -13.31423      0.0001991072      0.0003082753
              0.04              0.12                 0          144226.2          326.4949         0.9563793         -5.885032         -27.58092       0.001047513       0.003020087
              0.04              0.13                 0          150272.7          332.4613         0.9785919         -17.05938          -11.0919      0.0009827451       0.005538927
              0.04              0.14                 0          143235.7           329.248          0.941869         -7.668569         -32.48504         0.0144832          0.124996
              0.04              0.15                 0          152601.9          337.5037         0.9789124         -31.87453         -8.372664        0.03589532         0.3593816
              0.04              0.16                 0          142428.1          331.8038         0.9293447         -4.217936         -51.66439       0.003634281        0.01817669
              0.04              0.17                 0          157173.8             344.7         0.9871912          1.125153         -6.195138       0.005966975        0.08851772
              0.04              0.18                 0          141816.4           334.427         0.9180949          8.618724         -43.75218        0.08470538           1.62102
