# Result of the experimentation: segment4.arg

# With args:
# --> x_size = 100
# --> y_size = 200
# --> init_time_step = 1e-07
# --> space_step = 0.001
# --> CBL_cond = 100
# --> iter_number_solver = 100000
# --> iter_number_prothis->filer = 1
# --> nb_of_threads = 12
# --> ->nb_pts = 3
# --> ->abs = 39
# --> ->abs = 129
# --> ->abs = 199
# --> ->ord = 89
# --> ->ord = 89
# --> ->ord = 89
# --> init_cond_type = 1
# --> iter_number_evol_chamber = 50000
# --> differential_equation_solver_algo = 4
# --> VDW_a_coef = 0
# --> VDW_b_coef = 0
# --> thermal_conduction = 1
# --> lambda = 0.06
# --> mol_mass = 0.018
# --> dyn_visc = 1e-06
# --> init_chamber_pressure = 161661
# --> init_chamber_temperature = 350
# --> init_chamber_speed = 0
# --> init_chamber_turb_en = 1e-05
# --> init_chamber_turb_dis = 1e-05
# --> init_atmosphere_pressure = 124000
# --> init_atmosphere_temperature = 300
# --> init_atmosphere_speed = 0
# --> init_atmosphere_turb_en = 1e-06
# --> init_atmosphere_turb_dis = 1e-06

# Maximums (asbolute values) after 6257 iterations: 
# pressure = 7.868377e+219
# temperature = 8.004476e+160
# vol_mass = 1.942139e+76
# speed0 = 3.740099e+147
# speed1 = 4.964961e+147
# turb_en = 8.223721e+183
# turb_dis = 1.090167e+183

#                 x                 y           is_wall          pressure            temper          vol_mass           speed_1           speed_2           turb_en          turb_dis

                 0                 0                 0            124000               300         0.8948761                 0                 0             1e-06             1e-06
                 0             0.001                 0          125190.8          301.2472         0.8997292         -36.82435          3.336265      2.486309e-06      3.743587e-06
                 0             0.002                 0          125111.3          301.1328         0.8994992         -34.08758          3.105299      2.219178e-06      3.175894e-06
                 0             0.003                 0          125113.2          301.1359         0.8995039          -34.2486          3.107363      2.231238e-06      3.200133e-06
                 0             0.004                 0          125029.3          301.0226         0.8992392         -31.49694          2.868469      1.997727e-06      2.726958e-06
                 0             0.005                 0          125027.8          301.0267         0.8992157         -31.83648          2.870671      2.022792e-06      2.776124e-06
                 0             0.006                 0          124943.9           300.917         0.8989399         -29.06116          2.633134       1.81753e-06      2.377717e-06
                 0             0.007                 0          124938.5          300.9216         0.8988878         -29.58362          2.635615      1.852396e-06      2.443717e-06
                 0             0.008                 0          124860.6          300.8194         0.8986325         -26.78056          2.410787      1.671572e-06      2.105965e-06
                 0             0.009                 0          124857.7           300.828         0.8985857         -27.47527          2.417296      1.712508e-06      2.180852e-06
                 0              0.01                 0          124783.4          300.7313         0.8983396         -24.63427          2.200663      1.551229e-06      1.889758e-06
                 0             0.011                 0          124785.1          300.7451         0.8983107         -25.50484          2.213847      1.595953e-06      1.969048e-06
                 0             0.012                 0            124709          300.6498         0.8980473         -22.60549           1.99756      1.449653e-06      1.713026e-06
                 0             0.013                 0            124710           300.665         0.8980097         -23.67218          2.014179      1.497674e-06      1.795757e-06
                 0             0.014                 0            124634          300.5721         0.8977397         -20.69815          1.803352      1.364584e-06      1.569225e-06
                 0             0.015                 0          124631.4          300.5863         0.8976781         -21.96888          1.818887      1.415034e-06      1.653926e-06
                 0             0.016                 0          124561.2          300.4997         0.8974314         -18.91879          1.621669      1.295095e-06      1.454705e-06
                 0             0.017                 0          124559.4          300.5157         0.8973705          -20.3875          1.638846      1.346064e-06      1.538364e-06
                 0             0.018                 0          124494.9           300.435         0.8971465         -17.25792          1.453627      1.238152e-06      1.362893e-06
                 0             0.019                 0          124497.8          300.4552         0.8971069         -18.93245          1.478359      1.288109e-06      1.443285e-06
                 0              0.02                 0          124434.6          300.3773         0.8968843         -15.69932          1.301837       1.19044e-06      1.287409e-06
                 0             0.021                 0          124438.3           300.399         0.8968463         -17.60004          1.331041      1.238668e-06      1.363677e-06
                 0             0.022                 0          124376.6          300.3235         0.8966269         -14.23717          1.166751      1.151047e-06      1.226101e-06
                 0             0.023                 0          124375.8          300.3428         0.8965638         -16.36776          1.190895      1.196485e-06      1.296871e-06
                 0             0.024                 0            124320          300.2729         0.8963701         -12.87532          1.042454      1.120591e-06      1.179343e-06
                 0             0.025                 0          124315.7            300.29         0.8962882         -15.22191          1.059903       1.16117e-06      1.241748e-06
                 0             0.026                 0          124267.4          300.2269         0.8961278         -11.61471         0.9266433      1.098735e-06      1.146136e-06
                 0             0.027                 0          124263.3          300.2441         0.8960469         -14.16573         0.9432865      1.132121e-06      1.196967e-06
                 0             0.028                 0          124220.4          300.1864         0.8959101         -10.44619         0.8260558      1.084875e-06      1.125231e-06
                 0             0.029                 0          124216.1          300.2031         0.8958288         -13.17962         0.8410153      1.108504e-06      1.160935e-06
                 0              0.03                 0            124178          300.1503          0.895712         -9.352724         0.7435494      1.080186e-06      1.118186e-06
                 0             0.031                 0            124170          300.1636         0.8956147         -12.20041          0.746363      1.090004e-06       1.13295e-06
                 0             0.032                 0          124138.2          300.1171         0.8955241         -8.314582         0.6717763      1.089056e-06      1.131521e-06
                 0             0.033                 0          124124.7          300.1247         0.8954041         -11.14477         0.6517775      1.077053e-06      1.113485e-06
                 0             0.034                 0          410827.3          993.4155         0.8953459         -7.309159         0.6041835         -962607.2         -10167.18
                 0             0.035                 0       3.95505e+70      9.543062e+67         0.8972773     -1.715675e+70      5.225227e+69      4.598283e+23      1.532863e+24
                 0             0.036                 0    -3.294971e+170     2.891099e+111     -2.467466e+56         -22814.34         0.5288852      1.874383e+71      2.872709e+69
                 0             0.037                 0      -3.95505e+70     -9.589085e+67         0.8929708      1.723949e+70     -5.250427e+69      7.112296e+21      1.094759e+22
                 0             0.038                 0          346474.8          838.0829         0.8950495         -5.259103         0.4519295         -962922.7         -10170.52
                 0             0.039                 0          124014.3           300.024         0.8949077         -6.790019         0.3641308      1.069616e-06      1.102363e-06
                 0              0.04                 0          124014.8          300.0155         0.8949364         -4.165441         0.3250395      1.221668e-06      1.336636e-06
                 0             0.041                 0          123992.5           300.003         0.8948126         -5.203391         0.2640713      1.055332e-06      1.081084e-06
                 0             0.042                 0          123995.3          299.9998         0.8948429         -3.163002         0.1991129      1.152837e-06      1.228853e-06
                 0             0.043                 0          123977.9          299.9892         0.8947486         -3.858947         0.1660215      1.035865e-06      1.052285e-06
                 0             0.044                 0          123980.1          299.9879         0.8947686         -2.333026        0.09834779      1.090726e-06      1.134039e-06
                 0             0.045                 0          123968.7          299.9808         0.8947079         -2.800284        0.08189966      1.020391e-06      1.029566e-06
                 0             0.046                 0            123969          299.9794         0.8947138         -1.691166        0.02666843      1.049443e-06      1.072339e-06
                 0             0.047                 0          123963.9          299.9763         0.8946864          -2.00991        0.01719747      1.010649e-06      1.015344e-06
                 0             0.048                 0          123961.8           299.974         0.8946776         -1.218391       -0.01901759      1.025624e-06       1.03723e-06
                 0             0.049                 0          123962.8          299.9749         0.8946826         -1.439987         -0.028276      1.005214e-06      1.007436e-06
                 0              0.05                 0          123957.8          299.9711          0.894658        -0.8816127       -0.04393143      1.012813e-06      1.018497e-06
                 0             0.051                 0          123964.3          299.9756         0.8946911         -1.034681       -0.05752434      1.002364e-06      1.003296e-06
                 0             0.052                 0          123956.5          299.9701         0.8946516        -0.6453311       -0.05583229      1.006155e-06      1.008804e-06
                 0             0.053                 0          123966.6          299.9771         0.8947033        -0.7483155       -0.07458429      1.000899e-06      1.001172e-06
                 0             0.054                 0          123956.9          299.9703         0.8946537        -0.4785459       -0.06135747      1.002763e-06      1.003876e-06
                 0             0.055                 0          123968.8          299.9785          0.894715        -0.5475329       -0.08360617      1.000142e-06      1.000074e-06
                 0             0.056                 0          123958.1          299.9711         0.8946601        -0.3576264       -0.06267489      1.001047e-06      1.001386e-06
                 0             0.057                 0          123971.3          299.9802          0.894728        -0.4043868       -0.08764032      9.997439e-07      9.994965e-07
                 0             0.058                 0          123959.8          299.9722         0.8946688        -0.2664999       -0.06057563      1.000168e-06      1.000111e-06
                 0             0.059                 0          123974.1          299.9821         0.8947423        -0.2966981       -0.08814844       9.99532e-07      9.991893e-07
                 0              0.06                 0          123961.9          299.9737         0.8946797        -0.1956667       -0.05733708      9.997107e-07      9.994485e-07
                 0             0.061                 0          123976.3          299.9836         0.8947538        -0.2125833       -0.08601899      9.994178e-07      9.990238e-07
                 0             0.062                 0          123964.3          299.9753         0.8946919        -0.1402673       -0.05461568      9.994766e-07      9.991091e-07
                 0             0.063                 0          123977.8          299.9847         0.8947619        -0.1479526       -0.08233139       9.99357e-07      9.989358e-07
                 0             0.064                 0          123966.7           299.977         0.8947045       -0.09768655       -0.05191598      9.993623e-07      9.989434e-07
                 0             0.065                 0          123979.5          299.9858         0.8947702        -0.1002615       -0.07784096      9.993282e-07      9.988941e-07
                 0             0.066                 0          123969.1          299.9787          0.894717       -0.06593306        -0.0483186      9.993108e-07      9.988687e-07
                 0             0.067                 0          123981.3          299.9871         0.8947796       -0.06682481       -0.07269272      9.993176e-07      9.988787e-07
                 0             0.068                 0          123971.7          299.9804           0.89473       -0.04314305       -0.04428414      9.992917e-07       9.98841e-07
                 0             0.069                 0          123982.8          299.9881         0.8947876       -0.04561066       -0.06706499      9.993153e-07      9.988753e-07
                 0              0.07                 0          123974.1          299.9821         0.8947428       -0.02749976       -0.04095169      9.992886e-07      9.988366e-07
                 0             0.071                 0          123984.2          299.9891         0.8947945       -0.03374549       -0.06145441      9.993168e-07      9.988775e-07
                 0             0.072                 0          123976.5          299.9837         0.8947547       -0.01718865        -0.0379281      9.992919e-07      9.988414e-07
                 0             0.073                 0          123985.6          299.9901         0.8948019       -0.02647786        -0.0561552      9.993208e-07      9.988833e-07
                 0             0.074                 0          123978.6          299.9852         0.8947659       -0.01054835       -0.03415351      9.992972e-07      9.988491e-07
                 0             0.075                 0          123987.2          299.9911           0.89481       -0.01993314       -0.05103922      9.993262e-07       9.98891e-07
                 0             0.076                 0          123980.7          299.9867         0.8947766      -0.006341217        -0.0303481      9.993035e-07      9.988581e-07
                 0             0.077                 0          123988.6          299.9921         0.8948174       -0.01388058       -0.04602679      9.993314e-07      9.988986e-07
                 0             0.078                 0          123982.7           299.988         0.8947869      -0.003784876        -0.0274352      9.993101e-07      9.988678e-07
                 0             0.079                 0          123989.6          299.9928         0.8948227       -0.01010251       -0.04133399      9.993352e-07      9.989042e-07
                 0              0.08                 0          123984.5          299.9893         0.8947961       -0.00232657       -0.02497708      9.993166e-07      9.988772e-07
                 0             0.081                 0          123990.5          299.9935         0.8948274      -0.008836223       -0.03712446      9.993386e-07      9.989091e-07
