# Result of the experimentation: segment4.arg

# With args:
# --> x_size = 100
# --> y_size = 200
# --> init_time_step = 1e-08
# --> space_step = 0.001
# --> CBL_cond = 100
# --> iter_number_solver = 1003
# --> iter_number_profiler = 1
# --> nb_of_threads = 12
# --> ->nb_pts = 3
# --> ->abs = 39
# --> ->abs = 129
# --> ->abs = 199
# --> ->ord = 89
# --> ->ord = 89
# --> ->ord = 89
# --> init_cond_type = 1
# --> iter_number_evol_chamber = 1000
# --> differential_equation_solver_algo = 4
# --> VDW_a_coef = 0
# --> VDW_b_coef = 0
# --> thermal_conduction = 1
# --> lambda = 0.6
# --> mol_mass = 0.018
# --> dyn_visc = 1e-06
# --> init_chamber_pressure = 200000
# --> init_chamber_temperature = 2000
# --> init_chamber_speed = 0
# --> init_chamber_turb_en = 1e-05
# --> init_chamber_turb_dis = 1e-05
# --> init_atmosphere_pressure = 124000
# --> init_atmosphere_temperature = 300
# --> init_atmosphere_speed = 0
# --> init_atmosphere_turb_en = 1e-06
# --> init_atmosphere_turb_dis = 1e-06

#              time         time_step            thrust      max pressure   max temperature      max vol_mass        max speed0        max speed1       max turb_en      max turb_dis

                 0             1e-08                 0            124000               300         0.8948761                 0                 0             1e-06             1e-06
             1e-08             1e-08                 0            124000               300         0.8948761      3.333333e-12      3.333333e-12             1e-06             1e-06
             2e-08             1e-08                 0            124076             301.7         0.8948761      6.666667e-12      6.666667e-12         1.009e-06         1.009e-06
             3e-08             1e-08                 0            124000               300         0.8948761             1e-11      0.0008492796             1e-06             1e-06
             4e-08             1e-08                 0            124228             305.1         0.8948761       1.41266e-11       0.000849291         1.027e-06         1.027e-06
             5e-08             1e-08                 0            124000               300         0.8948761      1.825322e-11       0.002547857             1e-06             1e-06
             6e-08             1e-08                 0            124380             308.5         0.8948761      2.396638e-11       0.002547883         1.045e-06         1.045e-06
             7e-08             1e-08                 0            124000               300         0.8948761       2.96796e-11       0.005095736             1e-06             1e-06
             8e-08             1e-08                 0            124532             311.9         0.8948761      3.777263e-11       0.005095771         1.063e-06         1.063e-06
             9e-08             1e-08                 0            124000               300         0.8948762      4.586574e-11         0.0084929             1e-06             1e-06
             1e-07             1e-08                 0            124684             315.3         0.8948762      5.713192e-11       0.008492932         1.081e-06         1.081e-06
           1.1e-07             1e-08                 0            124000               300         0.8948762      6.839817e-11        0.01273932             1e-06             1e-06
           1.2e-07             1e-08                 0            124836             318.7         0.8948763      8.363072e-11        0.01273933         1.099e-06         1.099e-06
           1.3e-07             1e-08                 0            124000               300         0.8948763      9.886328e-11        0.01783495             1e-06             1e-06
           1.4e-07             1e-08                 0            124988             322.1         0.8948764      1.188553e-10         0.0178349         1.117e-06         1.117e-06
           1.5e-07             1e-08                 0            124000               300         0.8948765      1.388473e-10        0.02377972             1e-06             1e-06
           1.6e-07             1e-08                 0            125140             325.5         0.8948766      1.643919e-10        0.02377958         1.135e-06         1.135e-06
           1.7e-07             1e-08                 0          124000.1               300         0.8948767      1.899361e-10        0.03057356             1e-06             1e-06
           1.8e-07             1e-08                 0            125292             328.9         0.8948768      2.218261e-10        0.03057328         1.153e-06         1.153e-06
           1.9e-07             1e-08                 0          124000.1               300          0.894877      2.537155e-10        0.03821636      1.000001e-06      1.000001e-06
             2e-07             1e-08                 0            125444             332.3         0.8948772      2.927435e-10        0.03821589         1.171e-06         1.171e-06
           2.1e-07             1e-08                 0          124000.1               300         0.8948773      3.317705e-10        0.04670802      1.000001e-06      1.000001e-06
           2.2e-07             1e-08     3.893436e-208            125596             335.7         0.8948775       3.78729e-10        0.04670729         1.189e-06         1.189e-06
