# Result of the experimentation: segment6.arg

#              time         time_step            thrust

                 0             1e-07                 0
             1e-07             1e-07                 0
             2e-07             1e-07                 0
             3e-07             1e-07                 0
             4e-07             1e-07                 0
             5e-07             1e-07                 0
             6e-07             1e-07                 0
             7e-07             1e-07                 0
             8e-07      9.168906e-08                 0
      8.916891e-07      7.136935e-08                 0
      9.630584e-07      5.704275e-08                 0
      1.020101e-06      4.690313e-08                 0
      1.067004e-06      3.970463e-08                 0
      1.106709e-06      3.462622e-08                 0
      1.141335e-06      3.111252e-08                 0
      1.172448e-06      2.873922e-08                 0
      1.201187e-06      2.711784e-08                 0
      1.228305e-06      2.577517e-08                 0
       1.25408e-06      2.349091e-08      4.780959e-89
      1.277571e-06      2.141488e-08      2.438216e-85
      1.298986e-06      1.997355e-08      2.523436e-82
      1.318959e-06      1.893685e-08     -3.854935e-78
      1.337896e-06      1.670696e-08     -1.049738e-75
      1.354603e-06      1.444299e-08      6.292113e-73
      1.369046e-06      1.251809e-08      4.029533e-69
      1.381564e-06      1.129388e-08     -1.304834e-67
      1.392858e-06      1.071161e-08      1.249244e-63
       1.40357e-06      1.067761e-08      5.610864e-60
      1.414247e-06      1.014858e-08     -1.573643e-59
      1.424396e-06      9.342761e-09      4.683394e-56
      1.433739e-06        8.5022e-09     -2.899422e-55
      1.442241e-06      8.038461e-09     -2.198017e-51
      1.450279e-06      7.583725e-09       2.27051e-50
      1.457863e-06      7.031526e-09     -2.483663e-46
      1.464894e-06      5.772539e-09      6.789124e-20
      1.470667e-06      5.358123e-09      2.036737e-19
      1.476025e-06       4.74811e-09        4.8963e-19
      1.480773e-06      4.576369e-09      1.251313e-18
       1.48535e-06      4.340305e-09      3.874191e-18
       1.48969e-06      3.090867e-09      1.354556e-17
      1.492781e-06      2.487283e-09      4.835189e-17
      1.495268e-06      3.784255e-10      1.668957e-16
      1.495647e-06      4.773702e-18      5.465923e-16
      1.495647e-06      1.001193e-36      1.695132e-15
      1.495647e-06      2.118148e-80      4.989643e-15
      1.495647e-06     3.122831e-161      1.398916e-14
      1.495647e-06                 0      3.748956e-14
      1.495647e-06                 0                 0
      1.495647e-06                 0                 0
      1.495647e-06                 0                 0
      1.495647e-06                 0                 0
      1.495647e-06                 0                 0
